GTIN,codigo_producto
01054,01054
01055,01055
01063,01063
01064,01064
01067,01067
01068,01068
01069,01069
01070,01070
01080,01080
01085,01085
01088,01088
0108907520000287,86866
01093,01093
01094,01094
01095,01095
01097,01097
01103,01103
01105,01105
01107,01107
01113,01113
01114,01114
01115,01115
01120,01120
01121,01121
01123,01123
01124,01124
01136,01136
01143,01143
01144,01144
01147,01147
01148,01148
01150,01150
0115060112314909,05775
01152,01152
01153,01153
01154,01154
01155,01155
01162,01162
01163,01163
01164,01164
01169,01169
01177,01177
0117757964000149,98495
01178,01178
0117800062003250,80903
01182,01182
01185,01185
01189,01189
01191,01191
01192,01192
01193,01193
01196,01196
01198,01198
01199,01199
01200,01200
01202,01202
01207,01207
01208,01208
01210,01210
01213,01213
01214,01214
01215,01215
01219,01219
01222,01222
01224,01224
01226,01226
01228,01228
01229,01229
0123456789123,93248
01235,01235
01236,01236
01238,01238
01239,01239
01241,01241
01242,01242
01246,01246
01248,01248
01249,01249
01258,01258
01261,01261
01268,01268
01269,01269
01270,01270
01275,01275
01276,01276
01278,01278
01279,01279
01280,01280
01282,01282
01287,01287
01290,01290
01292,01292
01297,01297
01298,01298
01300,01300
01301,01301
01306,01306
01307,01307
01308,01308
01309,01309
01310,01310
01312,01312
01317,01317
01324,01324
01325,01325
01326,01326
01327,01327
01328,01328
01329,01329
01330,01330
01331,01331
01332,01332
01333,01333
01334,01334
01335,01335
01336,01336
01337,01337
01338,01338
01341,01341
01342,01342
01343,01343
01345,01345
01346,01346
01347,01347
01348,01348
01349,01349
01350,01350
01354,01354
01358,01358
01359,01359
01361,01361
01363,01363
01365,01365
01366,01366
01370,01370
01372,01372
01373,01373
01375,01375
01377,01377
01378,01378
01379,01379
01382,01382
01386,01386
01388,01388
01389,01389
01390,01390
01391,01391
01396,01396
01397,01397
01398,01398
01402,01402
01403,01403
01404,01404
01408,01408
01410,01410
01413,01413
01416,01416
01417,01417
01418,01418
01422,01422
01423,01423
01424,01424
01425,01425
01426,01426
01427,01427
01431,01431
01432,01432
01433,01433
01434,01434
01440,01440
01443,01443
01444,01444
01446,01446
01449,01449
01455,01455
01456,01456
01457,01457
01458,01458
01464,01464
01465,01465
01466,01466
01472,01472
01474,01474
01480,01480
01481,01481
01482,01482
01483,01483
01484,01484
01485,01485
01487,01487
01488,01488
01493,01493
01499,01499
01500,01500
01517,01517
01518,01518
01520,01520
01521,01521
01523,01523
01527,01527
01531,01531
01532,01532
01543,01543
01544,01544
01546,01546
01548,01548
01550,01550
01551,01551
01553,01553
01555,01555
01557,01557
01558,01558
01561,01561
01563,01563
01564,01564
01565,01565
01566,01566
01569,01569
01571,01571
01572,01572
01573,01573
01574,01574
01575,01575
01576,01576
01586,01586
01591,01591
01593,01593
01603,01603
01604,01604
01605,01605
01606,01606
01612,01612
01613,01613
01617,01617
01618,01618
01622,01622
01623,01623
01624,01624
01626,01626
01627,01627
01628,01628
01629,01629
01632,01632
01633,01633
01635,01635
01636,01636
01646,01646
01647,01647
01650,01650
01654,01654
01655,01655
01657,01657
01658,01658
01659,01659
01660,01660
01663,01663
01664,01664
01672,01672
01676,01676
01677,01677
01678,01678
01683,01683
01685,01685
01690,01690
01691,01691
01698,01698
01699,01699
01703,01703
01708,01708
01712,01712
01714,01714
01715,01715
01716,01716
01717,01717
01718,01718
01721,01721
01723,01723
01729,01729
01732,01732
01737,01737
01738,01738
01740,01740
01744,01744
01745,01745
01746,01746
01747,01747
01751,01751
01755,01755
01756,01756
01758,01758
01761,01761
01762,01762
01764,01764
01773,01773
01774,01774
01775,01775
01776,01776
01777,01777
01778,01778
01779,01779
01781,01781
01783,01783
01784,01784
01792,01792
01793,01793
01794,01794
01796,01796
01798,01798
01799,01799
01801,01801
01802,01802
01803,01803
01804,01804
01805,01805
01806,01806
01808,01808
01813,01813
01818,01818
01819,01819
01820,01820
01822,01822
01823,01823
01828,01828
01829,01829
01830,01830
01831,01831
01833,01833
01839,01839
01846,01846
01848,01848
01849,01849
01855,01855
01856,01856
01862,01862
01863,01863
01870,01870
01872,01872
01873,01873
01875,01875
01879,01879
01880,01880
01881,01881
01885,01885
01886,01886
01889,01889
0188PE,94406
01891,01891
01892,01892
01893,01893
01894,01894
01898,01898
01899,01899
01904,01904
01907,01907
0190PE,94408
01910,01910
01911,01911
01915,01915
01935,01935
01939,01939
01941,01941
01945,01945
01955,01955
01956,01956
01957,01957
01958,01958
01964,01964
01967,01967
01968,01968
01970,01970
01971,01971
01972,01972
01973,01973
01974,01974
01979,01979
01980,01980
01982,01982
01983,01983
01991,01991
01992,01992
01995,01995
01996,01996
019965817585,97949
019965817912,97949
019965826037,97949
019965826990,97949
019965834032,97949
019965839648,97949
019965839686,97949
019965839709,97949
019965842952,97949
019965852104,97949
019965852128,97949
019965852135,97949
019965852142,97949
019965880237,97949
019965880565,97949
019965881050,97949
019965881920,97949
01997,01997
02004,02004
02006,02006
02009,02009
02011,02011
02014,02014
02017,02017
02019,02019
02023,02023
02029,02029
02047,02047
02053,02053
02057,02057
02058,02058
02060,02060
02072,02072
02083,02083
02096,02096
02098,02098
02104,02104
02106,02106
02107,02107
02112,02112
02113,02113
02114,02114
02116,02116
02118,02118
02123,02123
02124,02124
02125,02125
02142,02142
02155,02155
02158,02158
02168,02168
02174,02174
02176,02176
02178,02178
02181,02181
02194,02194
02195,02195
02196,02196
02197,02197
02198,02198
02199,02199
02200,02200
02201,02201
02202,02202
02203,02203
02208,02208
02210,02210
02211,02211
02215,02215
02224,02224
02228,02228
02229,02229
02236,02236
02238,02238
02239,02239
02240,02240
02241,02241
02246,02246
02251,02251
02252,02252
02254,02254
02261,02261
02263,02263
02264,02264
02274,02274
02277,02277
02283,02283
02284,02284
02288,02288
02289,02289
02292,02292
02294,02294
02298,02298
02299,02299
02311,02311
02313,02313
02316,02316
02322,02322
02337,02337
02348,02348
02355,02355
02356,02356
02357,02357
02358,02358
02359,02359
02363,02363
02368,02368
02369,02369
02374,02374
02393,02393
02399,02399
02400,02400
02401,02401
02402,02402
02405,02405
02409,02409
02413,02413
02415,02415
02421,02421
02422,02422
02423,02423
02424,02424
02425,02425
02429,02429
02436,02436
02442,02442
02443,02443
02447,02447
02448,02448
02449,02449
02452,02452
02453,02453
02462,02462
02463,02463
02465,02465
02474,02474
02475,02475
02477,02477
02480,02480
02486,02486
02491,02491
02492,02492
02493,02493
02494,02494
02496,02496
02497,02497
02498,02498
02499,02499
02500,02500
02504,02504
02506,02506
02507,02507
02509,02509
02510,02510
02511,02511
02513,02513
02514,02514
02516,02516
02517,02517
02518,02518
02520,02520
02521,02521
02522,02522
02523,02523
02524,02524
02527,02527
02528,02528
02533,02533
02540,02540
02541,02541
02542,02542
02547,02547
02551,02551
02552,02552
02558,02558
02560,02560
02561,02561
02565,02565
02566,02566
02567,02567
02568,02568
02569,02569
02571,02571
02575,02575
02577,02577
02578,02578
02579,02579
02580,02580
02581,02581
02582,02582
02583,02583
02587,02587
02590,02590
02592,02592
02605,02605
02611,02611
02622,02622
02627,02627
02628,02628
02629,02629
02630,02630
02631,02631
02633,02633
02635,02635
02637,02637
02638,02638
02639,02639
02640,02640
02641,02641
02642,02642
02643,02643
02644,02644
02646,02646
02650,02650
02651,02651
02652,02652
02655,02655
02657,02657
02658,02658
02660,02660
02662,02662
02665,02665
02667,02667
02671,02671
02672,02672
02673,02673
02675,02675
02681,02681
02683,02683
02685,02685
02695,02695
02698,02698
02699,02699
02700,02700
02702,02702
02703,02703
02707,02707
02709,02709
02711,02711
02713,02713
02714,02714
02715,02715
02716,02716
02720,02720
02723,02723
02724,02724
02725,02725
02728,02728
02730,02730
02732,02732
02734,02734
02747,02747
02766,02766
02767,02767
02768,02768
02769,02769
02770,02770
02772,02772
02775,02775
02777,02777
02790,02790
02797,02797
02804,02804
02806,02806
02807,02807
02808,02808
02809,02809
02812,02812
02813,02813
02816,02816
02819,02819
02820,02820
02823,02823
02824,02824
02826,02826
02835,02835
02836,02836
02838,02838
02839,02839
02840,02840
02841,02841
02844,02844
02845,02845
02847,02847
02849,02849
02850,02850
02851,02851
02852,02852
02853,02853
02854,02854
02855,02855
02857,02857
02859,02859
02862,02862
02864,02864
02865,02865
02869,02869
02871,02871
02872,02872
02878,02878
02879,02879
02880,02880
02881,02881
02887,02887
02892,02892
02894,02894
02895,02895
02896,02896
02897,02897
02898,02898
02900,02900
02904,02904
02906,02906
02907,02907
02908,02908
02909,02909
02910,02910
02915,02915
02916,02916
02919,02919
02921,02921
02922,02922
02923,02923
02924,02924
02925,02925
02926,02926
02927,02927
02929,02929
02930,02930
02932,02932
02933,02933
02934,02934
02937,02937
02938,02938
02944,02944
02945,02945
02951,02951
02962,02962
02963,02963
02969,02969
02971,02971
02978,02978
02983,02983
02984,02984
02987,02987
02988,02988
02989,02989
02991,02991
02993,02993
02999,02999
030006030039,80259
03001,03001
03002,03002
03003,03003
03004,03004
03005,03005
0300651510454,85243
03007,03007
03008,03008
03018,03018
03019,03019
03020,03020
03025,03025
0302993923046,87025
03033,03033
03034,03034
03035,03035
03042,03042
03059,03059
03065,03065
03066,03066
03067,03067
03068,03068
03075,03075
03076,03076
03088,03088
03092,03092
03104,03104
03105,03105
03108,03108
03109,03109
03110,03110
03111,03111
03113,03113
03115,03115
03125,03125
03128,03128
03129,03129
03130,03130
03131,03131
03132,03132
03133,03133
03134,03134
03135,03135
03136,03136
03139,03139
03147,03147
03150,03150
03156,03156
03160,03160
03162,03162
03163,03163
03164,03164
03166,03166
03168,03168
03169,03169
03170,03170
03174,03174
03175,03175
03177,03177
03182,03182
03184,03184
03186,03186
03187,03187
03188,03188
03192,03192
03197,03197
03198,03198
03199,03199
03200,03200
03202,03202
03203,03203
03204,03204
03205,03205
03206,03206
03208,03208
03211,03211
03212,03212
03214,03214
03216,03216
03218,03218
03219,03219
03222,03222
03223,03223
03224,03224
032244044137,76178
03225,03225
03226,03226
03227,03227
03230,03230
03231,03231
03232,03232
03234,03234
03235,03235
03237,03237
03238,03238
03239,03239
03245,03245
03247,03247
03249,03249
03250,03250
03257,03257
03261,03261
03263,03263
03264,03264
03270,03270
03271,03271
03273,03273
03274,03274
03276,03276
03280,03280
03284,03284
03296,03296
03304,03304
03314,03314
03319,03319
03334,03334
03343,03343
03344,03344
03349,03349
03360,03360
03361,03361
03362,03362
03363,03363
03364,03364
03365,03365
03366,03366
03367,03367
03368,03368
03369,03369
03370,03370
03371,03371
03372,03372
03373,03373
03374,03374
03375,03375
03376,03376
03377,03377
03378,03378
03379,03379
03380,03380
03381,03381
03382,03382
03383,03383
03384,03384
03385,03385
03386,03386
03387,03387
03388,03388
03389,03389
03397,03397
03398,03398
03399,03399
03400,03400
03401,03401
03402,03402
03404,03404
03406,03406
03407,03407
03408,03408
03412,03412
03413,03413
03415,03415
03417,03417
03418,03418
03419,03419
03420,03420
03421,03421
03423,03423
03427,03427
03430,03430
03431,03431
03432,03432
03438,03438
03439,03439
03440,03440
03445,03445
03448,03448
03449,03449
03450,03450
03451,03451
03452,03452
03453,03453
03454,03454
03455,03455
03456,03456
03457,03457
03458,03458
03460,03460
03461,03461
03462,03462
03463,03463
03464,03464
03465,03465
03468,03468
03469,03469
03469521,96365
03471,03471
03472,03472
03473,03473
03474,03474
03476,03476
03477,03477
03478,03478
03479,03479
03480,03480
03481,03481
03482,03482
03483,03483
03484,03484
03485,03485
03486,03486
03487,03487
03488,03488
03490,03490
03493,03493
03494,03494
03495,03495
03496,03496
03497,03497
03499,03499
03500,03500
03501,03501
03502,03502
03503,03503
03504,03504
035046001056,97783
035046001384,97782
035046004163,81494
03505,03505
03506,03506
03510,03510
03511,03511
03512,03512
03514,03514
03515,03515
03516,03516
03517,03517
03518,03518
03520,03520
03521,03521
03523,03523
03524,03524
03525,03525
03526,03526
03527,03527
03532,03532
03535,03535
03536,03536
03537,03537
03538,03538
03540,03540
03541,03541
03542,03542
03543,03543
03544,03544
03545,03545
03546,03546
03547,03547
03548,03548
03550,03550
03551,03551
03559,03559
03560,03560
03561,03561
03565,03565
03566,03566
035664022235,96555
03567,03567
03573,03573
03575,03575
03576,03576
03578,03578
03579,03579
03581,03581
03587,03587
03588,03588
03589,03589
03592,03592
03593,03593
03594,03594
03595,03595
03596,03596
03597,03597
03598,03598
03599,03599
036000468076,95041
03608,03608
03610,03610
03614,03614
03622,03622
03628,03628
03629,03629
03630,03630
03631,03631
03632,03632
03633,03633
03634,03634
03635,03635
03636,03636
03637,03637
03649,03649
03652,03652
03653,03653
03656,03656
03657,03657
03658,03658
03660,03660
03661,03661
03663,03663
03664,03664
03666,03666
03667,03667
03669,03669
03670,03670
03673,03673
03675,03675
03677,03677
03678,03678
03679,03679
03680,03680
03682,03682
03683,03683
03684,03684
03697,03697
037000124429,94276
037000124450,92967
037000809968,05860
037000883425,97548
037000885191,97456
03715,03715
03716,03716
03717,03717
03721,03721
03725,03725
03727,03727
03732,03732
03738,03738
03739,03739
03741,03741
03743,03743
03744,03744
03746,03746
03747,03747
03750,03750
03751,03751
03752,03752
03753,03753
03754,03754
03755,03755
03756,03756
03757,03757
03758,03758
03759,03759
03760,03760
03761,03761
03762,03762
03763,03763
03765,03765
03766,03766
03769,03769
03773,03773
03774,03774
03775,03775
03778,03778
03779,03779
03780,03780
03781,03781
037836092749,94567
037836092947,77486
037836092961,62770
037836093159,94573
037836093166,94570
037836093319,94571
037836093487,62773
037836093661,04358
037836093678,80877
03784,03784
03785,03785
03795,03795
03799,03799
03801,03801
03805,03805
03813,03813
03814,03814
03815,03815
03817,03817
03818,03818
03819,03819
03820,03820
03821,03821
03822,03822
03828,03828
03829,03829
03830,03830
03832,03832
03834,03834
03835,03835
03836,03836
03838,03838
03839,03839
03844,03844
03846,03846
03848,03848
03849,03849
03850,03850
03851,03851
03852,03852
03853,03853
03854,03854
03855,03855
03856,03856
03857,03857
03858,03858
03859,03859
03860,03860
03861,03861
03865,03865
03866,03866
03867,03867
03868,03868
03870,03870
03872,03872
03873,03873
03874,03874
03876,03876
03877,03877
03879,03879
03880,03880
03881,03881
03882,03882
03883,03883
03884,03884
03885,03885
03886,03886
03887,03887
03891,03891
03892,03892
03894,03894
03895,03895
03902,03902
03903,03903
039035010340,76624
039035013051,76621
039035013150,76617
03905,03905
03906,03906
03910,03910
03911,03911
03912,03912
03915,03915
03918,03918
03919,03919
03920,03920
03921,03921
03922,03922
03926,03926
03927,03927
03929,03929
03930,03930
03932,03932
03933,03933
03934,03934
03935,03935
03936,03936
03942,03942
03943,03943
03944,03944
03945,03945
03946,03946
03947,03947
03948,03948
03949,03949
03950,03950
03951,03951
03952,03952
03953,03953
03955,03955
03957,03957
03958,03958
03960,03960
03961,03961
03962,03962
03963,03963
03964,03964
03965,03965
03966,03966
03967,03967
03968,03968
03969,03969
03970,03970
03971,03971
03972,03972
03973,03973
03974,03974
03975,03975
03979,03979
03980,03980
03981,03981
03982,03982
03983,03983
03984,03984
03985,03985
03986,03986
03987,03987
03988,03988
03989,03989
03991,03991
03992,03992
03994,03994
03995,03995
03999,03999
04003,04003
04004,04004
04006,04006
04008,04008
04009,04009
04011,04011
04012,04012
04013,04013
04014,04014
04016,04016
04017,04017
04018,04018
04019,04019
04020,04020
04025,04025
04026,04026
04027,04027
04028,04028
04029,04029
04030,04030
04031,04031
04032,04032
04033,04033
04034,04034
04035,04035
04036,04036
04037,04037
04038,04038
04039,04039
04040,04040
04041,04041
04042,04042
04044,04044
04045,04045
04047,04047
04049,04049
04050,04050
04057,04057
04058,04058
04059,04059
04061,04061
04063,04063
04064,04064
04065,04065
04069,04069
04070,04070
04073,04073
04075,04075
04076,04076
04077,04077
04078,04078
04079,04079
04080,04080
04081,04081
04082,04082
04083,04083
04084,04084
04085,04085
04086,04086
04087,04087
04088,04088
04089,04089
04091,04091
04092,04092
04093,04093
04094,04094
04095,04095
04096,04096
04097,04097
04098,04098
04099,04099
04100,04100
04101,04101
04102,04102
04105,04105
04106,04106
04109,04109
04110,04110
04111,04111
04112,04112
04113,04113
04114,04114
04115,04115
04116,04116
041167627624,82384
04118,04118
04119,04119
04120,04120
04123,04123
04124,04124
04125,04125
04126,04126
04127,04127
04128,04128
04129,04129
04130,04130
04131,04131
04133,04133
041333001043,61386
041333014630,83176
041333431482,77959
04134,04134
04135,04135
04138,04138
04139,04139
04140,04140
04141,04141
04142,04142
04143,04143
04144,04144
04145,04145
04147,04147
04148,04148
04151,04151
04154,04154
04155,04155
041554209556,94010
041554209587,94082
041554209617,93381
041554264548,93374
041554282641,93377
041554332872,94538
041554415483,94540
041554420647,93393
041554434804,61923
041554441277,94539
041554453652,94011
041554453676,93386
041554464252,94009
041554493856,94084
041554496536,93390
041554496581,93391
041554496956,94267
041554496970,94268
041554496987,94270
041554507133,94263
041554541441,94008
041554543681,94269
041554543711,94266
04160,04160
04161,04161
04168,04168
04170,04170
04175,04175
04176,04176
04177,04177
04179,04179
04180,04180
04181,04181
04182,04182
04183,04183
04184,04184
04186,04186
04187,04187
04188,04188
04189,04189
04191,04191
04194,04194
04195,04195
04197,04197
04198,04198
04199,04199
04200,04200
04202,04202
04204,04204
04205,04205
04220,04220
04225,04225
04233,04233
04234,04234
04235,04235
04236,04236
04237,04237
04239,04239
04240,04240
04241,04241
04243,04243
04250,04250
04251,04251
04252,04252
04254,04254
04255,04255
04256,04256
04257,04257
04258,04258
04259,04259
04262,04262
04266,04266
04267,04267
04268,04268
04270,04270
04271,04271
04272,04272
04274,04274
04276,04276
04278,04278
04279,04279
04280,04280
04281,04281
04282,04282
04283,04283
04284,04284
04286,04286
04287,04287
04288,04288
04290,04290
04291,04291
04292,04292
04293,04293
04298,04298
04300,04300
04301,04301
04302,04302
04303,04303
04304,04304
04305,04305
04306,04306
04307,04307
04308,04308
04309,04309
04310,04310
04311,04311
04312,04312
04313,04313
04314,04314
04315,04315
04317,04317
04318,04318
04329,04329
04330,04330
04331,04331
04332,04332
04334,04334
04335,04335
04336,04336
04337,04337
04338,04338
04339,04339
04340,04340
04341,04341
04342,04342
04346,04346
04347,04347
04348,04348
04349,04349
04350,04350
04351,04351
04352,04352
04353,04353
04354,04354
04356,04356
04357,04357
04358,04358
04359,04359
04360,04360
04361,04361
04362,04362
04365,04365
04366,04366
04367,04367
04368,04368
04369,04369
04370,04370
04375,04375
04377,04377
04378,04378
04380,04380
04381,04381
04382,04382
04383,04383
04385,04385
04387,04387
04388,04388
04389,04389
04390,04390
04391,04391
04392,04392
04393,04393
04394,04394
04396,04396
04397,04397
04398,04398
04400,04400
04401,04401
04403,04403
04404,04404
04407,04407
04408,04408
04409,04409
04410,04410
04412,04412
04413,04413
04414,04414
04415,04415
04416,04416
04417,04417
04418,04418
04419,04419
04420,04420
04421,04421
04424,04424
04425,04425
04427,04427
04428,04428
04429,04429
04430,04430
04431,04431
04432,04432
04435,04435
04436,04436
04438,04438
04439,04439
04440,04440
04442,04442
04443,04443
04444,04444
04445,04445
04446,04446
04447,04447
04449,04449
04450,04450
04452,04452
04453,04453
04454,04454
04455,04455
04456,04456
04457,04457
04458,04458
04459,04459
04460,04460
04461,04461
04462,04462
04463,04463
04466,04466
04467,04467
04471,04471
04472,04472
04473,04473
04474,04474
04475,04475
04477,04477
04478,04478
04479,04479
04485,04485
04486,04486
04487,04487
04489,04489
04490,04490
04492,04492
04495,04495
04496,04496
04499,04499
04502,04502
04503,04503
04504,04504
04505,04505
04506,04506
04507,04507
04510,04510
04511,04511
04513,04513
04541,04541
04542,04542
04543,04543
04544,04544
04545,04545
04547,04547
04549,04549
04555,04555
04556,04556
04557,04557
04558,04558
04560,04560
04561,04561
04562,04562
04563,04563
04564,04564
04565,04565
04566,04566
04567,04567
04568,04568
04569,04569
04570,04570
04571,04571
04572,04572
04573,04573
04574,04574
04575,04575
04576,04576
04578,04578
04579,04579
04580,04580
04581,04581
04582,04582
04583,04583
04584,04584
04585,04585
04586,04586
04587,04587
04588,04588
04589,04589
04590,04590
04591,04591
04593,04593
04594,04594
04596,04596
04597,04597
04598,04598
04599,04599
04600,04600
04601,04601
04602,04602
04603,04603
04605,04605
04606,04606
04607,04607
04608,04608
04609,04609
04610,04610
04613,04613
04614,04614
04615,04615
04616,04616
04617,04617
04619,04619
04623,04623
04624,04624
04629,04629
04630,04630
04631,04631
04634,04634
04635,04635
04642,04642
04646,04646
04647,04647
04648,04648
04650,04650
04652,04652
04660,04660
04661,04661
04662,04662
04663,04663
04664,04664
04665,04665
04667,04667
04668,04668
04669,04669
04670,04670
04671,04671
04672,04672
04673,04673
04674,04674
04675,04675
04677,04677
04678,04678
04679,04679
04680,04680
04681,04681
04682,04682
